layer,auroc,f1,accuracy
0,0.7445343000557725,0.8739622641509434,0.7970838396111786
1,0.7718860382970814,0.8843537414965986,0.8140947752126367
2,0.7674010039040713,0.8910741301059002,0.8250303766707169
3,0.7836586726157277,0.8985074626865671,0.8347509113001215
4,0.7764965606990146,0.8747152619589977,0.7995139732685298
5,0.8027003160438744,0.8957239309827457,0.8311057108140948
6,0.793358430935118,0.8850226928895613,0.8153098420413123
7,0.8024353969139246,0.896969696969697,0.8347509113001215
8,0.8048196690834727,0.8952959028831563,0.8323207776427703
9,0.7937023610336493,0.8877086494688923,0.8201701093560145
10,0.799056516081056,0.8855193328279,0.8165249088699879
11,0.796793084216397,0.888212927756654,0.8213851761846902
12,0.7861730804982339,0.8903903903903904,0.8226002430133658
13,0.7926798661461238,0.8868640850417616,0.818955042527339
14,0.7916155419222903,0.8883826879271071,0.8213851761846902
15,0.8115495445250046,0.8940998487140696,0.8298906439854192
16,0.8254275887711471,0.9084084084084084,0.8517618469015796
17,0.8465653467187209,0.9165424739195231,0.8639125151883353
18,0.8633435582822087,0.9125188536953243,0.8590522478736331
19,0.8683212493028444,0.9100609756097561,0.8566221142162819
20,0.9095928611266034,0.9258698940998488,0.8809234507897934
21,0.8831334820598624,0.9173616376042456,0.8675577156743621
22,0.888575943483919,0.9206349206349206,0.8724179829890644
23,0.889407882506042,0.924924924924925,0.8784933171324423
24,0.8987311767986617,0.9227306826706677,0.8748481166464156
25,0.8998001487265291,0.9256198347107438,0.8797083839611178
26,0.8971137757947574,0.9289454001495886,0.8845686512758202
27,0.8886642498605689,0.9311377245508982,0.8882138517618469
28,0.8809815950920246,0.9156086631814787,0.8626974483596598
29,0.865397843465328,0.9243445692883895,0.8772782503037667
30,0.8797313627068228,0.9242310577644411,0.8772782503037667
31,0.8719185722253207,0.9234234234234234,0.8760631834750912
32,0.8656720580033463,0.9078549848942599,0.8517618469015796
33,0.8440416434281464,0.9082706766917293,0.8517618469015796
34,0.8175683212493029,0.9024024024024024,0.8420413122721749
35,0.8150213794385573,0.90187265917603,0.8408262454434994
36,0.8165272355456404,0.898876404494382,0.8359659781287971
