layer,auroc,f1,accuracy
0,0.7442229038854804,0.8731117824773413,0.795868772782503
1,0.7746235359732291,0.8853454821564161,0.8165249088699879
2,0.7617261572783045,0.881769641495042,0.8116646415552855
3,0.7858012641754972,0.8937452901281085,0.8286755771567437
4,0.7735034393009854,0.8779378316906747,0.804374240583232
5,0.8095928611266034,0.8980509745127436,0.8347509113001215
6,0.7943483918944043,0.8850226928895613,0.8153098420413123
7,0.7987218813905932,0.8976497346474602,0.8359659781287971
8,0.8030303030303031,0.8910891089108911,0.8262454434993924
9,0.7975134783416992,0.8897280966767371,0.8226002430133658
10,0.7983733035880275,0.8802440884820748,0.8092345078979344
11,0.8014965606990148,0.8897338403041825,0.8238153098420413
12,0.792122141662019,0.8932330827067669,0.827460510328068
13,0.7891940881204684,0.8843537414965986,0.8140947752126367
14,0.794947945714817,0.8893905191873589,0.8213851761846902
15,0.8109685815207288,0.8962906888720666,0.8335358444714459
16,0.8268172522773749,0.9017857142857143,0.8396111786148238
17,0.8408579661647145,0.9099099099099099,0.8541919805589308
18,0.8461284625395055,0.9119638826185101,0.8578371810449574
19,0.8652862985685071,0.9138972809667674,0.8614823815309842
20,0.9055586540249116,0.9241274658573596,0.8784933171324423
21,0.8864194088120468,0.9173616376042456,0.8675577156743621
22,0.8896820970440603,0.916030534351145,0.8663426488456865
23,0.8903885480572598,0.9224981188863808,0.8748481166464156
24,0.8929680237962446,0.9262048192771084,0.8809234507897934
25,0.8853550845882134,0.9300225733634312,0.8869987849331713
26,0.893716304145752,0.9226145755071374,0.8748481166464156
27,0.8816555121769846,0.927231807951988,0.8821385176184691
28,0.8791039226622048,0.9224981188863808,0.8748481166464156
29,0.8656952965235174,0.9282511210762332,0.8833535844471446
30,0.8721323666108942,0.9165402124430956,0.8663426488456865
31,0.8629763896635062,0.9130763416477702,0.8602673147023087
32,0.8569204313069344,0.9086792452830189,0.8529769137302552
33,0.8456915783602901,0.9112781954887218,0.8566221142162819
34,0.816517940137572,0.8984848484848484,0.8371810449574727
35,0.8045640453615913,0.8917293233082707,0.8250303766707169
36,0.80058561070831,0.9097688292319165,0.8529769137302552
