layer,auroc,f1,accuracy
0,0.71861875,0.6572890025575447,0.665
1,0.7221875,0.655,0.655
2,0.718121875,0.6541353383458647,0.655
3,0.699525,0.6466916354556804,0.64625
4,0.744015625,0.6608695652173913,0.65875
5,0.7372968750000001,0.6799501867995019,0.67875
6,0.7436125,0.6863468634686347,0.68125
7,0.7809312500000001,0.707196029776675,0.705
8,0.802196875,0.7246022031823746,0.71875
9,0.8241562500000001,0.7484957882069796,0.73875
10,0.8215843749999999,0.7550776583034647,0.74375
11,0.83700625,0.7701564380264742,0.76125
12,0.8481906250000001,0.780905752753978,0.77625
13,0.8482906250000001,0.7874396135265701,0.78
14,0.8517249999999998,0.796092796092796,0.79125
15,0.8405281250000001,0.7758620689655172,0.7725
16,0.839546875,0.771712158808933,0.77
17,0.817475,0.7686658506731946,0.76375
18,0.812503125,0.7404674046740467,0.73625
19,0.81256875,0.7521367521367521,0.74625
20,0.81688125,0.7481662591687042,0.7425
21,0.8010375000000001,0.7296969696969697,0.72125
22,0.8068250000000001,0.7403846153846154,0.73
23,0.8046406250000002,0.7405602923264312,0.73375
24,0.80881875,0.7432098765432099,0.74
25,0.8076968749999999,0.7448609431680774,0.73625
26,0.812265625,0.7290400972053463,0.72125
27,0.8083281249999998,0.7241379310344828,0.72
28,0.802084375,0.7169344870210136,0.71375
