layer,auroc,f1,accuracy
0,0.71855625,0.659846547314578,0.6675
1,0.7216031249999999,0.6666666666666666,0.6675
2,0.7219406249999999,0.6475,0.6475
3,0.7003781250000001,0.6433915211970075,0.6425
4,0.73420625,0.6675,0.6675
5,0.738675,0.6716417910447762,0.67
6,0.74273125,0.686819830713422,0.67625
7,0.769246875,0.6846625766871166,0.67875
8,0.7953031250000001,0.724390243902439,0.7175
9,0.8156374999999999,0.75,0.7425
10,0.820678125,0.7367178276269185,0.72125
11,0.832671875,0.7608695652173914,0.7525
12,0.8477812499999999,0.7768187422934648,0.77375
13,0.8467374999999998,0.7815533980582524,0.775
14,0.8471125,0.7813267813267813,0.7775
15,0.83468125,0.773955773955774,0.77
16,0.8386312499999999,0.7768187422934648,0.77375
17,0.82176875,0.7506053268765133,0.7425
18,0.8156656250000002,0.760248447204969,0.75875
19,0.8177843750000001,0.754257907542579,0.7475
20,0.8151187499999999,0.7548543689320388,0.7475
21,0.80963125,0.7355473554735548,0.73125
22,0.80915,0.7393939393939394,0.73125
23,0.808575,0.7457627118644068,0.7375
24,0.8064968750000001,0.7286245353159851,0.72625
25,0.8084281249999999,0.73992673992674,0.73375
26,0.809309375,0.7216748768472906,0.7175
27,0.8024625,0.7220843672456576,0.72
28,0.789109375,0.7060270602706027,0.70125
