layer,auroc,f1,accuracy
0,0.690715625,0.6484472049689441,0.64625
1,0.691153125,0.6397984886649875,0.6425
2,0.694221875,0.6389937106918239,0.64125
3,0.685253125,0.6238993710691824,0.62625
4,0.6999875,0.6467661691542289,0.645
5,0.6984875,0.635678391959799,0.6375
6,0.71035625,0.6393034825870647,0.6375
7,0.7139156249999999,0.6583850931677019,0.65625
8,0.7362093749999999,0.6708229426433915,0.67
9,0.778621875,0.7164179104477612,0.715
10,0.77905,0.7012345679012346,0.6975
11,0.7981093749999999,0.7311028500619579,0.72875
12,0.8025625000000001,0.7401960784313726,0.735
13,0.8202499999999999,0.7425,0.7425
14,0.831871875,0.7590511860174781,0.75875
15,0.8317375000000001,0.7419354838709677,0.74
16,0.8294812500000002,0.7509386733416771,0.75125
17,0.8402968749999999,0.7627329192546584,0.76125
18,0.841128125,0.7635467980295566,0.76
19,0.8378437499999999,0.7654320987654321,0.7625
20,0.8362062499999999,0.7570900123304563,0.75375
21,0.8329562500000001,0.758282208588957,0.75375
22,0.82039375,0.7560975609756098,0.75
23,0.815253125,0.75,0.7425
24,0.814425,0.7417380660954712,0.73625
25,0.808275,0.7333333333333333,0.73
26,0.79946875,0.7241379310344828,0.72
27,0.8022812500000001,0.7317676143386898,0.72875
28,0.80249375,0.7343941248470012,0.72875
29,0.794353125,0.7329192546583851,0.73125
30,0.79755,0.7320099255583127,0.73
31,0.801634375,0.7335811648079306,0.73125
32,0.7960343750000001,0.7272727272727273,0.72625
