layer,auroc,f1,accuracy
0,0.691065625,0.6492537313432836,0.6475
1,0.691259375,0.6481012658227848,0.6525
2,0.6915,0.6314465408805031,0.63375
3,0.6932875,0.6317103620474407,0.63125
4,0.699153125,0.6442786069651741,0.6425
5,0.6997500000000001,0.6404907975460122,0.63375
6,0.7070500000000001,0.6493827160493827,0.645
7,0.7160062500000001,0.6609124537607891,0.65625
8,0.739484375,0.6740196078431373,0.6675
9,0.768525,0.7070457354758962,0.70375
10,0.76989375,0.7109471094710947,0.70625
11,0.782690625,0.711276332094176,0.70875
12,0.797453125,0.7326732673267327,0.73
13,0.80895625,0.7281795511221946,0.7275
14,0.826878125,0.748451053283767,0.74625
15,0.8256937500000001,0.7404674046740467,0.73625
16,0.826721875,0.7375,0.7375
17,0.8368812499999999,0.7643312101910829,0.76875
18,0.8382000000000001,0.76010101010101,0.7625
19,0.835046875,0.752851711026616,0.75625
20,0.827996875,0.7528230865746549,0.75375
21,0.829646875,0.7568238213399504,0.755
22,0.8126249999999999,0.7469586374695864,0.74
23,0.808634375,0.7427184466019418,0.735
24,0.811190625,0.7281553398058253,0.72
25,0.801284375,0.7316486161251504,0.72125
26,0.7987312500000001,0.7321212121212122,0.72375
27,0.8009968749999999,0.7301587301587301,0.72375
28,0.7992093749999999,0.7279503105590062,0.72625
29,0.795115625,0.7311557788944724,0.7325
30,0.7919562499999999,0.7160493827160493,0.7125
31,0.79990625,0.7303921568627451,0.725
32,0.7781781250000002,0.7042944785276074,0.69875
