layer,auroc,f1,accuracy
0,0.6957343749999999,0.657601977750309,0.65375
1,0.713984375,0.6465408805031446,0.64875
2,0.70804375,0.657465495608532,0.65875
3,0.7061843750000001,0.6592039800995025,0.6575
4,0.7213499999999999,0.6658506731946144,0.65875
5,0.7303781249999999,0.6617100371747212,0.65875
6,0.7338718750000001,0.675,0.675
7,0.732896875,0.6822085889570552,0.67625
8,0.7174875,0.6465408805031446,0.64875
9,0.70645,0.6505102040816326,0.6575
10,0.72265625,0.6699875466998755,0.66875
11,0.7055375,0.6551724137931034,0.65
12,0.7284125,0.6732673267326733,0.67
13,0.71773125,0.6492537313432836,0.6475
14,0.731509375,0.6773794808405439,0.67375
15,0.7667781250000001,0.7064676616915423,0.705
16,0.781728125,0.7076537013801757,0.70875
17,0.7849062499999999,0.7222222222222222,0.7125
18,0.8198343749999999,0.7518427518427518,0.7475
19,0.80265625,0.7215189873417721,0.725
20,0.8266843749999999,0.76,0.76
21,0.83498125,0.7669543773119606,0.76375
22,0.8340687499999999,0.778998778998779,0.77375
23,0.831115625,0.7468982630272953,0.745
24,0.847809375,0.7701863354037267,0.76875
25,0.8538468750000001,0.7509578544061303,0.75625
26,0.848134375,0.770012706480305,0.77375
27,0.8530875,0.78239608801956,0.7775
28,0.8329500000000001,0.7586206896551724,0.755
29,0.82020625,0.7484355444305382,0.74875
30,0.8176968749999999,0.743142144638404,0.7425
31,0.813275,0.739454094292804,0.7375
32,0.8036312499999999,0.7216748768472906,0.7175
33,0.79936875,0.7281795511221946,0.7275
34,0.7802625000000001,0.7148194271481942,0.71375
35,0.7894531249999999,0.7161997563946407,0.70875
36,0.7920218750000001,0.7339901477832512,0.73
