layer,auroc,f1,accuracy
0,0.6952812500000001,0.657601977750309,0.65375
1,0.71280625,0.6526576019777504,0.64875
2,0.7088062500000001,0.6566791510611736,0.65625
3,0.716765625,0.6699507389162561,0.665
4,0.726959375,0.6674816625916871,0.66
5,0.7272749999999999,0.6511627906976745,0.64375
6,0.7338499999999999,0.6707616707616708,0.665
7,0.729284375,0.6708074534161491,0.66875
8,0.717509375,0.6598726114649681,0.66625
9,0.71205625,0.649616368286445,0.6575
10,0.728884375,0.681704260651629,0.6825
11,0.717103125,0.6787878787878788,0.66875
12,0.73134375,0.6780072904009721,0.66875
13,0.7216312500000001,0.654228855721393,0.6525
14,0.734425,0.6775407779171895,0.67875
15,0.76121875,0.6993710691823899,0.70125
16,0.7630531249999999,0.6851385390428212,0.6875
17,0.77964375,0.708029197080292,0.7
18,0.8073187500000001,0.7369696969696969,0.72875
19,0.795446875,0.7331670822942643,0.7325
20,0.82001875,0.7425,0.7425
21,0.8270906250000001,0.7664670658682635,0.75625
22,0.82931875,0.7738814993954051,0.76625
23,0.81908125,0.7422934648581998,0.73875
24,0.8400874999999999,0.7679222357229648,0.76125
25,0.84745,0.7637698898408812,0.75875
26,0.845146875,0.7680981595092025,0.76375
27,0.845209375,0.7807881773399015,0.7775
28,0.8372656249999999,0.7574257425742574,0.755
29,0.8249375000000001,0.7453874538745388,0.74125
30,0.825434375,0.7385786802030457,0.7425
31,0.8157625000000001,0.745679012345679,0.7425
32,0.7975000000000001,0.7173100871731009,0.71625
33,0.7913625000000001,0.7148194271481942,0.71375
34,0.79075,0.7229219143576826,0.725
35,0.7845781249999999,0.7142857142857143,0.71
36,0.7910156249999999,0.7229813664596273,0.72125
