layer,auroc,f1,accuracy
0,0.9717749999999998,0.9401709401709402,0.93875
1,0.9795,0.9674185463659147,0.9675
2,0.9802312500000001,0.9722222222222222,0.9725
3,0.98224375,0.9734513274336283,0.97375
4,0.98311875,0.9673366834170855,0.9675
5,0.9822437500000001,0.9686323713927227,0.96875
6,0.9811000000000001,0.9747474747474747,0.975
7,0.978875,0.9735182849936949,0.97375
8,0.9811875000000001,0.9735849056603774,0.97375
9,0.9808437500000001,0.9723618090452262,0.9725
10,0.98535,0.9698492462311558,0.97
11,0.9891937500000001,0.9710691823899371,0.97125
12,0.9882062500000001,0.9710691823899371,0.97125
13,0.9870437500000001,0.9699248120300752,0.97
14,0.9868125,0.9760403530895334,0.97625
15,0.98661875,0.9698492462311558,0.97
16,0.9856687500000001,0.9723618090452262,0.9725
17,0.98626875,0.9649122807017544,0.965
18,0.9846625000000001,0.964824120603015,0.965
19,0.9847375,0.9685534591194969,0.96875
20,0.9830875,0.9685534591194969,0.96875
21,0.9834,0.9685534591194969,0.96875
22,0.98321875,0.9709962168978562,0.97125
23,0.9824875,0.9697732997481109,0.97
24,0.9803062499999999,0.9735849056603774,0.97375
25,0.98159375,0.9748110831234257,0.975
26,0.9839,0.9748110831234257,0.975
27,0.9859250000000002,0.9735182849936949,0.97375
28,0.9828437500000001,0.9710691823899371,0.97125
