layer,auroc,f1,accuracy
0,0.957490625,0.9230769230769231,0.92
1,0.97631875,0.9565217391304348,0.95625
2,0.97975,0.9603960396039604,0.96
3,0.979475,0.9626865671641791,0.9625
4,0.9784999999999999,0.9590062111801242,0.95875
5,0.978975,0.9686323713927227,0.96875
6,0.98151875,0.9625935162094763,0.9625
7,0.9822812500000001,0.9673366834170855,0.9675
8,0.9842625,0.9722222222222222,0.9725
9,0.98494375,0.9698492462311558,0.97
10,0.9863562499999999,0.9686323713927227,0.96875
11,0.9858625000000001,0.9686323713927227,0.96875
12,0.98488125,0.9650872817955112,0.965
13,0.9838625000000001,0.9675,0.9675
14,0.9841,0.97,0.97
15,0.985625,0.9686323713927227,0.96875
16,0.98411875,0.9760403530895334,0.97625
17,0.98391875,0.9735849056603774,0.97375
18,0.9851499999999999,0.9760403530895334,0.97625
19,0.9864875,0.9722222222222222,0.9725
20,0.9872875,0.9710691823899371,0.97125
21,0.9868499999999999,0.9709962168978562,0.97125
22,0.9870812499999999,0.9748110831234257,0.975
23,0.98669375,0.9735182849936949,0.97375
24,0.98656875,0.9747474747474747,0.975
25,0.9859062500000001,0.9734513274336283,0.97375
26,0.9868187500000001,0.9760403530895334,0.97625
27,0.9863937500000001,0.9747474747474747,0.975
28,0.9847312500000001,0.9735182849936949,0.97375
29,0.9856312500000001,0.9709228824273072,0.97125
30,0.9846375,0.9720812182741116,0.9725
31,0.984975,0.9721518987341772,0.9725
32,0.98546875,0.9660377358490566,0.96625
