layer,auroc,f1,accuracy
0,0.9728031250000002,0.9305724725943971,0.92875
1,0.974853125,0.9528535980148883,0.9525
2,0.97748125,0.9576059850374065,0.9575
3,0.978,0.9661229611041405,0.96625
4,0.9780062500000001,0.9674185463659147,0.9675
5,0.9811500000000002,0.9686323713927227,0.96875
6,0.98035,0.965,0.965
7,0.9795937499999999,0.9696969696969697,0.97
8,0.98155,0.9515527950310559,0.95125
9,0.9810875,0.9661229611041405,0.96625
10,0.9811687500000001,0.9649122807017544,0.965
11,0.9795,0.9612015018773467,0.96125
12,0.9796812500000001,0.9577114427860697,0.9575
13,0.9799437499999999,0.9591078066914498,0.95875
14,0.9787750000000002,0.9637046307884856,0.96375
15,0.98125625,0.9637952559300874,0.96375
16,0.9811125,0.965,0.965
17,0.9799375,0.9612983770287141,0.96125
18,0.98165,0.964824120603015,0.965
19,0.981103125,0.9672544080604534,0.9675
20,0.985759375,0.9686323713927227,0.96875
21,0.9836125,0.964824120603015,0.965
22,0.9811687499999999,0.9734513274336283,0.97375
23,0.98305625,0.9673366834170855,0.9675
24,0.983325,0.9686323713927227,0.96875
25,0.9844812500000001,0.9710691823899371,0.97125
26,0.9851187499999999,0.9748110831234257,0.975
27,0.9823312500000001,0.9661229611041405,0.96625
28,0.98203125,0.9709962168978562,0.97125
29,0.985275,0.9698492462311558,0.97
30,0.985053125,0.9624060150375939,0.9625
31,0.9842250000000001,0.9661229611041405,0.96625
32,0.9813312500000001,0.96,0.96
33,0.980996875,0.9612015018773467,0.96125
34,0.9832875,0.9637046307884856,0.96375
35,0.9823375,0.9561952440550688,0.95625
36,0.9837625,0.9613947696139477,0.96125
