layer,auroc,f1,accuracy
0,0.7496793084216398,0.8786737000753579,0.804374240583232
1,0.7623907789551962,0.8815094339622641,0.8092345078979344
2,0.7960866332031975,0.8929110105580694,0.827460510328068
3,0.8049451570923962,0.8915845337376801,0.8262454434993924
4,0.8099042572968953,0.8966565349544073,0.8347509113001215
5,0.8016778211563487,0.8979591836734694,0.8359659781287971
6,0.8136270682282952,0.9019607843137255,0.8420413122721749
7,0.842280163599182,0.9157345264727815,0.8626974483596598
8,0.879712771890686,0.9140271493212669,0.8614823815309842
9,0.8812000371816322,0.9222641509433962,0.8748481166464156
10,0.8964026770775237,0.9311377245508982,0.8882138517618469
11,0.9109174567763525,0.9336316181953765,0.8918590522478737
12,0.916318088864101,0.9328301886792453,0.8918590522478737
13,0.9052193716304145,0.9335347432024169,0.8930741190765492
14,0.9053216211191671,0.9351432880844646,0.8955042527339003
15,0.9145333705149656,0.9306184012066365,0.8882138517618469
16,0.8988659602156535,0.9281934996220711,0.8845686512758202
17,0.894901468674475,0.924812030075188,0.8784933171324423
18,0.8916806097787693,0.9182295573893473,0.8675577156743621
19,0.8910159881018778,0.9169184290030211,0.8663426488456865
20,0.8887850901654581,0.9154078549848943,0.8639125151883353
21,0.8833565718535044,0.9176114890400605,0.8675577156743621
22,0.8748466257668712,0.9107413010590015,0.8566221142162819
23,0.8646123814835472,0.9110105580693816,0.8566221142162819
24,0.853769287971742,0.9133383571966842,0.8602673147023087
25,0.8521983640081799,0.9134687735139202,0.8602673147023087
26,0.8516034578918015,0.9134687735139202,0.8602673147023087
27,0.8492889012827662,0.9112602535421327,0.8554070473876063
28,0.8295872838817625,0.9046199701937406,0.8444714459295262
