layer,auroc,f1,accuracy
0,0.749191299498048,0.877643504531722,0.8031591737545565
1,0.7630879345603272,0.8815094339622641,0.8092345078979344
2,0.8013664249860568,0.891912320483749,0.8262454434993924
3,0.8097508830637665,0.8959276018099548,0.8323207776427703
4,0.8203569436698271,0.8909229595728452,0.8262454434993924
5,0.8138036809815952,0.8940998487140696,0.8298906439854192
6,0.8124930284439487,0.9069069069069069,0.8493317132442284
7,0.8465746421267892,0.9139865370231862,0.8602673147023087
8,0.8763803680981596,0.9071537290715372,0.8517618469015796
9,0.8825571667596207,0.9221466364323507,0.8748481166464156
10,0.8935025097601785,0.9263157894736842,0.8809234507897934
11,0.909267521844209,0.935026138909634,0.8942891859052248
12,0.9227598066555122,0.9350453172205438,0.8955042527339003
13,0.9094069529652352,0.9381598793363499,0.9003645200486027
14,0.9019659788064697,0.9323308270676691,0.8906439854191981
15,0.9117401003904073,0.9246987951807228,0.8784933171324423
16,0.9035694366982712,0.927122464312547,0.8821385176184691
17,0.9003532255065999,0.927012791572611,0.8821385176184691
18,0.8890871909276817,0.9174174174174174,0.8663426488456865
19,0.8851041085703663,0.918429003021148,0.8687727825030377
20,0.8857408440230528,0.9178598342125094,0.8675577156743621
21,0.880879345603272,0.9125188536953243,0.8590522478736331
22,0.8713422569250789,0.9021084337349398,0.8420413122721749
23,0.8624140174753671,0.9099099099099099,0.8541919805589308
24,0.853969139245213,0.9120961682945155,0.8578371810449574
25,0.8514686744748095,0.9079939668174962,0.8517618469015796
26,0.8568971927867634,0.9159159159159159,0.8639125151883353
27,0.8461888826919503,0.9150521609538003,0.8614823815309842
28,0.8291875813348206,0.9078751857355126,0.8493317132442284
