layer,auroc,f1,accuracy
0,0.7151654582636178,0.8525345622119815,0.7667071688942891
1,0.7362567391708496,0.8688400303260045,0.7897934386391251
2,0.757966164714631,0.8845283018867924,0.8140947752126367
3,0.7658486707566463,0.8818660647103085,0.8092345078979344
4,0.7900817995910019,0.8902165795369679,0.8213851761846902
5,0.8199107640825434,0.8961334344200151,0.8335358444714459
6,0.8198642870422012,0.8977099236641222,0.8371810449574727
7,0.8141708496002974,0.894457099468489,0.8311057108140948
8,0.8248652165830082,0.9032258064516129,0.8432563791008505
9,0.8390128276631343,0.9052631578947369,0.8469015795868773
10,0.8372792340583751,0.9100449775112444,0.8541919805589308
11,0.862474437627812,0.9069069069069069,0.8493317132442284
12,0.8772866703848298,0.9216867469879518,0.8736330498177399
13,0.8870700873768358,0.924812030075188,0.8784933171324423
14,0.900873768358431,0.9260935143288085,0.8809234507897934
15,0.9059397657557166,0.9343396226415094,0.8942891859052248
16,0.9137525562372188,0.9402092675635276,0.9027946537059538
17,0.9252323852017104,0.9377344336084021,0.8991494532199271
18,0.9220580033463469,0.9372197309417041,0.8979343863912516
19,0.9207938278490426,0.9376408715251691,0.8991494532199271
20,0.915978806469604,0.9337349397590361,0.8930741190765492
21,0.9190462911321808,0.9288956127080181,0.8857837181044957
22,0.9108012641754972,0.9269027882441597,0.8821385176184691
23,0.9084076965978807,0.9253956292388847,0.8797083839611178
24,0.9000650678564789,0.9255079006772009,0.8797083839611178
25,0.8951803309165272,0.9214501510574018,0.8736330498177399
26,0.8845649749023982,0.918552036199095,0.8687727825030377
27,0.8822178843651235,0.9140271493212669,0.8614823815309842
28,0.8734802007808143,0.9196093163035312,0.8699878493317132
29,0.8789737869492471,0.9174174174174174,0.8663426488456865
30,0.8730014872652909,0.9187969924812031,0.8687727825030377
31,0.8701849786205614,0.9212303075768942,0.8724179829890644
32,0.8439579847555309,0.9156626506024096,0.8639125151883353
