layer,auroc,f1,accuracy
0,0.7152305261200966,0.8525345622119815,0.7667071688942891
1,0.7369492470719463,0.8718726307808946,0.7946537059538274
2,0.7596625766871167,0.8806646525679759,0.8080194410692588
3,0.7650074363264547,0.8852213053263316,0.8140947752126367
4,0.7913878044246143,0.8878923766816144,0.8177399756986634
5,0.8217419594720209,0.9030803906836965,0.8432563791008505
6,0.8119631901840492,0.9013657056145675,0.8420413122721749
7,0.8042387060791969,0.8951367781155015,0.8323207776427703
8,0.8153792526491913,0.9000751314800901,0.8383961117861483
9,0.830856107083101,0.9000751314800901,0.8383961117861483
10,0.8349135527049637,0.90744920993228,0.850546780072904
11,0.8649609592861126,0.9125188536953243,0.8590522478736331
12,0.8772866703848299,0.9216867469879518,0.8736330498177399
13,0.8753764640267708,0.9250374812593704,0.8784933171324423
14,0.8847137014314929,0.9262048192771084,0.8809234507897934
15,0.8934095556794943,0.9286250939143501,0.8845686512758202
16,0.9068135341141476,0.9374068554396423,0.8979343863912516
17,0.9215049265662763,0.9402092675635276,0.9027946537059538
18,0.9158626138687489,0.9354354354354354,0.8955042527339003
19,0.9199572411228853,0.9392348087021756,0.9015795868772782
20,0.9170477783974716,0.9359457422758101,0.8967193195625759
21,0.9143474623535973,0.9312169312169312,0.8894289185905225
22,0.9056655512176984,0.9245852187028658,0.8784933171324423
23,0.9020263989589143,0.9300225733634312,0.8869987849331713
24,0.8924335378323108,0.9256198347107438,0.8797083839611178
25,0.8818321249302843,0.9241172051089407,0.8772782503037667
26,0.8822736568135341,0.9187969924812031,0.8687727825030377
27,0.8763013571295779,0.9129129129129129,0.8590522478736331
28,0.8623582450269567,0.9105935386927122,0.8554070473876063
29,0.8737730061349693,0.9154824233358265,0.8626974483596598
30,0.869613311024354,0.9130434782608695,0.8590522478736331
31,0.8627347090537275,0.917910447761194,0.8663426488456865
32,0.8438650306748465,0.9190404797601199,0.8687727825030377
