model,layer,bin,bin_lo,bin_hi,n,probe_auroc,length_auroc
qwen,0,0,1.0,2.0,283,0.5615384615384615,0.5362637362637362
qwen,0,1,2.0,4.0,118,0.9055555555555556,0.6657407407407407
qwen,0,2,4.0,10.0,206,0.9819739952718677,0.7386229314420805
qwen,0,3,10.0,44.0,193,0.84375,0.453125
qwen,1,0,1.0,2.0,283,0.34175824175824177,0.5362637362637362
qwen,1,1,2.0,4.0,118,0.8416666666666667,0.6657407407407407
qwen,1,2,4.0,10.0,206,0.9822695035460993,0.7386229314420805
qwen,1,3,10.0,44.0,193,0.9895833333333334,0.453125
qwen,2,0,1.0,2.0,283,0.41135531135531134,0.5362637362637362
qwen,2,1,2.0,4.0,118,0.7953703703703703,0.6657407407407407
qwen,2,2,4.0,10.0,206,0.989066193853428,0.7386229314420805
qwen,2,3,10.0,44.0,193,0.6822916666666666,0.453125
qwen,3,0,1.0,2.0,283,0.40952380952380957,0.5362637362637362
qwen,3,1,2.0,4.0,118,0.7657407407407407,0.6657407407407407
qwen,3,2,4.0,10.0,206,0.9914302600472813,0.7386229314420805
qwen,3,3,10.0,44.0,193,0.84375,0.453125
qwen,4,0,1.0,2.0,283,0.3864468864468864,0.5362637362637362
qwen,4,1,2.0,4.0,118,0.7851851851851852,0.6657407407407407
qwen,4,2,4.0,10.0,206,0.9958628841607564,0.7386229314420805
qwen,4,3,10.0,44.0,193,0.9270833333333334,0.453125
qwen,5,0,1.0,2.0,283,0.44102564102564107,0.5362637362637362
qwen,5,1,2.0,4.0,118,0.8592592592592593,0.6657407407407407
qwen,5,2,4.0,10.0,206,0.9970449172576832,0.7386229314420805
qwen,5,3,10.0,44.0,193,0.90625,0.453125
qwen,6,0,1.0,2.0,283,0.41098901098901097,0.5362637362637362
qwen,6,1,2.0,4.0,118,0.8462962962962963,0.6657407407407407
qwen,6,2,4.0,10.0,206,0.9967494089834515,0.7386229314420805
qwen,6,3,10.0,44.0,193,0.90625,0.453125
qwen,7,0,1.0,2.0,283,0.38901098901098896,0.5362637362637362
qwen,7,1,2.0,4.0,118,0.8398148148148149,0.6657407407407407
qwen,7,2,4.0,10.0,206,0.9943853427895981,0.7386229314420805
qwen,7,3,10.0,44.0,193,0.9322916666666666,0.453125
qwen,8,0,1.0,2.0,283,0.5051282051282051,0.5362637362637362
qwen,8,1,2.0,4.0,118,0.8111111111111111,0.6657407407407407
qwen,8,2,4.0,10.0,206,0.9952718676122931,0.7386229314420805
qwen,8,3,10.0,44.0,193,0.9427083333333334,0.453125
qwen,9,0,1.0,2.0,283,0.45567765567765567,0.5362637362637362
qwen,9,1,2.0,4.0,118,0.8166666666666667,0.6657407407407407
qwen,9,2,4.0,10.0,206,0.9940898345153664,0.7386229314420805
qwen,9,3,10.0,44.0,193,0.9895833333333334,0.453125
qwen,10,0,1.0,2.0,283,0.4695970695970696,0.5362637362637362
qwen,10,1,2.0,4.0,118,0.8361111111111111,0.6657407407407407
qwen,10,2,4.0,10.0,206,0.990839243498818,0.7386229314420805
qwen,10,3,10.0,44.0,193,0.984375,0.453125
qwen,11,0,1.0,2.0,283,0.47216117216117215,0.5362637362637362
qwen,11,1,2.0,4.0,118,0.7925925925925925,0.6657407407407407
qwen,11,2,4.0,10.0,206,0.9804964539007093,0.7386229314420805
qwen,11,3,10.0,44.0,193,0.9947916666666666,0.453125
qwen,12,0,1.0,2.0,283,0.4721611721611722,0.5362637362637362
qwen,12,1,2.0,4.0,118,0.7759259259259259,0.6657407407407407
qwen,12,2,4.0,10.0,206,0.9781323877068558,0.7386229314420805
qwen,12,3,10.0,44.0,193,0.984375,0.453125
qwen,13,0,1.0,2.0,283,0.5018315018315018,0.5362637362637362
qwen,13,1,2.0,4.0,118,0.7638888888888888,0.6657407407407407
qwen,13,2,4.0,10.0,206,0.9908392434988179,0.7386229314420805
qwen,13,3,10.0,44.0,193,0.8802083333333334,0.453125
qwen,14,0,1.0,2.0,283,0.4413919413919414,0.5362637362637362
qwen,14,1,2.0,4.0,118,0.7648148148148148,0.6657407407407407
qwen,14,2,4.0,10.0,206,0.9929078014184398,0.7386229314420805
qwen,14,3,10.0,44.0,193,0.9427083333333334,0.453125
qwen,15,0,1.0,2.0,283,0.5021978021978022,0.5362637362637362
qwen,15,1,2.0,4.0,118,0.8092592592592593,0.6657407407407407
qwen,15,2,4.0,10.0,206,0.9920212765957447,0.7386229314420805
qwen,15,3,10.0,44.0,193,0.8854166666666666,0.453125
qwen,16,0,1.0,2.0,283,0.5073260073260073,0.5362637362637362
qwen,16,1,2.0,4.0,118,0.7759259259259259,0.6657407407407407
