model,layer,probe_only_auroc,length_word_auroc,joint_auroc,probe_coef,probe_pvalue,length_coef,length_pvalue
qwen,0,0.9728031250000002,0.973346875,0.9827625,2.3963511003146785,4.8405723873656825e-14,4.119261671160202,1.4339640586058522e-12
qwen,1,0.974853125,0.973346875,0.9771062500000001,2.428885677380648,4.0167869030938164e-13,3.2959629511712856,1.6042062056520479e-07
qwen,2,0.97748125,0.973346875,0.9782999999999998,2.590608151942952,1.1945999744966684e-13,2.944342169268558,3.0568611486536668e-06
qwen,3,0.978,0.973346875,0.9777562499999999,2.670020409122915,7.571721027943568e-14,2.7430809074201656,1.862808368513491e-05
qwen,4,0.9780062500000001,0.973346875,0.9778375000000001,2.750265901258504,7.993605777301127e-15,2.554917734731382,4.2321408628254176e-05
qwen,5,0.9811500000000002,0.973346875,0.98008125,3.151477905933622,3.3306690738754696e-15,2.1293509723273516,0.0006779612191840645
qwen,6,0.98035,0.973346875,0.9791624999999999,2.8762593946256527,4.1300296516055823e-14,2.466934118459565,0.00013771444739263394
qwen,7,0.9795937499999999,0.973346875,0.97818125,2.7914069750576713,1.13464793116691e-13,2.6226234969849322,4.3348469211945684e-05
qwen,8,0.98155,0.973346875,0.98050625,2.8841919359362063,2.0872192862952943e-14,2.7789903112971444,1.3558455161710725e-05
qwen,9,0.9810875,0.973346875,0.98031875,3.1048967157850362,1.1324274851176597e-14,2.3785755861017974,0.0001449663929669054
qwen,10,0.9811687500000001,0.973346875,0.980525,2.981568571799074,6.217248937900877e-15,2.5269502631083274,4.135646285718941e-05
qwen,11,0.9795,0.973346875,0.9790625,2.8709078392002882,2.042810365310288e-14,2.6458339041172994,1.7891817631010554e-05
qwen,12,0.9796812500000001,0.973346875,0.9788312499999999,2.861180800296173,4.418687638008123e-14,2.748135690224153,1.1090959745052587e-05
qwen,13,0.9799437499999999,0.973346875,0.97918125,2.919528969409063,1.9317880628477724e-14,2.7770405226277872,8.525140746673543e-06
qwen,14,0.9787750000000002,0.973346875,0.9782875000000001,2.851004185481142,9.769962616701378e-15,2.8480942399771845,4.238488159558074e-06
qwen,15,0.98125625,0.973346875,0.9805187500000001,3.0615914615596824,1.1102230246251565e-15,2.523161317722057,6.512448760465084e-05
qwen,16,0.9811125,0.973346875,0.98036875,3.2672168094106437,1.7763568394002505e-15,2.053849261680892,0.0013033653432501513
qwen,17,0.9799375,0.973346875,0.97875,3.089196091436464,3.774758283725532e-15,2.228581431303329,0.0004590885916786469
qwen,18,0.98165,0.973346875,0.9805562500000001,3.136500013969495,3.552713678800501e-15,2.2277610599078908,0.000510746660373318
qwen,19,0.981103125,0.973346875,0.9812375,3.1678586930174704,1.7763568394002505e-15,2.1039162330918306,0.0011006183073902776
qwen,20,0.985759375,0.973346875,0.985375,3.6383429937142475,2.220446049250313e-16,1.6488522417531686,0.007653625176647472
qwen,21,0.9836125,0.973346875,0.9828687500000001,3.583419274300926,4.6629367034256575e-15,1.7441633530194007,0.007243997372985422
qwen,22,0.9811687499999999,0.973346875,0.98089375,3.360634156637592,7.549516567451064e-15,1.9685525543169262,0.0024905189280064466
qwen,23,0.98305625,0.973346875,0.98251875,3.45233278608944,6.8833827526759706e-15,1.8793601879313282,0.004196536588010558
qwen,24,0.983325,0.973346875,0.9822875000000001,3.55600751137089,2.220446049250313e-15,1.7017679032254558,0.009041093514298382
qwen,25,0.9844812500000001,0.973346875,0.9839000000000001,3.8303594682416926,8.881784197001252e-16,1.4315554632538012,0.021669088712215734
qwen,26,0.9851187499999999,0.973346875,0.9843937500000001,3.843340012148375,6.661338147750939e-16,1.508516614633868,0.01667572649398963
qwen,27,0.9823312500000001,0.973346875,0.98155625,3.427472216645319,4.440892098500626e-16,1.860879780000877,0.0027239537457968144
qwen,28,0.98203125,0.973346875,0.9816374999999999,3.3740550038767383,6.661338147750939e-16,2.0004589189580306,0.0014396937674185928
qwen,29,0.985275,0.973346875,0.9846375,3.6259452215829326,4.440892098500626e-16,1.7336185101902875,0.004942815333185413
qwen,30,0.985053125,0.973346875,0.9847374999999999,3.518581872372562,1.1102230246251565e-15,1.9601315485753867,0.0023265000926333546
qwen,31,0.9842250000000001,0.973346875,0.9836750000000001,3.356301073091413,1.7763568394002505e-15,2.103124981541473,0.0010886084121395356
qwen,32,0.9813312500000001,0.973346875,0.98119375,3.1105652437601354,1.3322676295501878e-15,2.455186562957251,0.00015371966821198235
qwen,33,0.980996875,0.973346875,0.9815875000000001,2.981052260536533,5.10702591327572e-15,2.747540097475724,2.2721363712285836e-05
qwen,34,0.9832875,0.973346875,0.982775,3.2804221783979988,1.3766765505351941e-14,2.457166741373622,0.00011184844185208043
qwen,35,0.9823375,0.973346875,0.9825750000000001,3.1362331917067605,3.419486915845482e-14,2.5283848359626453,7.017629255345881e-05
qwen,36,0.9837625,0.973346875,0.9832687499999999,3.069312626121025,1.9340085088970227e-13,2.7474018423294226,2.265117017308249e-05
phi3,0,0.957490625,0.973346875,0.9764937500000002,1.6582208564404006,2.378450769668916e-10,4.962523742817495,0.0
phi3,1,0.97631875,0.973346875,0.97770625,2.267025458132581,1.6995294060961896e-12,3.550778784042895,8.319306132875681e-09
phi3,2,0.97975,0.973346875,0.97960625,2.7221855908717116,1.6431300764452317e-14,2.8401776241529,2.0765675092793145e-06
phi3,3,0.979475,0.973346875,0.9788312499999999,2.906184418435019,6.8833827526759706e-15,2.497239657744512,3.9141785750596014e-05
phi3,4,0.9784999999999999,0.973346875,0.9778250000000002,2.8705949491205436,5.551115123125783e-15,2.5077761081754883,5.164976183635872e-05
phi3,5,0.978975,0.973346875,0.9785750000000001,2.93490751103575,3.552713678800501e-15,2.3612222429163157,0.00010199269927402277
phi3,6,0.98151875,0.973346875,0.98046875,3.231307451149477,2.886579864025407e-15,2.026565926597535,0.0008055869112926217
phi3,7,0.9822812500000001,0.973346875,0.9819,3.372252553915949,6.661338147750939e-16,1.9195328201273782,0.0013023923443475915
phi3,8,0.9842625,0.973346875,0.9839687500000001,3.87082564347125,4.440892098500626e-16,1.3031673677687157,0.027091915393116173
phi3,9,0.98494375,0.973346875,0.98460625,3.9555132920080975,2.220446049250313e-16,1.245459466659317,0.02823138357602173
phi3,10,0.9863562499999999,0.973346875,0.9859562500000001,4.047843458171536,2.220446049250313e-16,1.111352488961443,0.05221726560035678
phi3,11,0.9858625000000001,0.973346875,0.9853312500000001,4.02414648689555,2.220446049250313e-16,1.1928003836648442,0.04468657672415621
phi3,12,0.98488125,0.973346875,0.98416875,3.784331799908859,4.440892098500626e-16,1.4311994234166392,0.017432442793190006
phi3,13,0.9838625000000001,0.973346875,0.98314375,3.570065738545514,1.9984014443252818e-15,1.7140811956737512,0.004865521231778747
phi3,14,0.9841,0.973346875,0.9833062499999999,3.667909746688083,1.7763568394002505e-15,1.7212995529402346,0.0047481036439454005
phi3,15,0.985625,0.973346875,0.98495625,3.908812634293403,4.440892098500626e-16,1.6267876960059007,0.007647559295294926
phi3,16,0.98411875,0.973346875,0.9833062500000002,3.6517001273521137,8.881784197001252e-16,1.6711032083849253,0.00654345676320589
