model,layer,probe_auroc,length_word_auroc,length_char_auroc
qwen,0,0.9728031250000002,0.973346875,0.97229375
qwen,1,0.974853125,0.973346875,0.97229375
qwen,2,0.97748125,0.973346875,0.97229375
qwen,3,0.978,0.973346875,0.97229375
qwen,4,0.9780062500000001,0.973346875,0.97229375
qwen,5,0.9811500000000002,0.973346875,0.97229375
qwen,6,0.98035,0.973346875,0.97229375
qwen,7,0.9795937499999999,0.973346875,0.97229375
qwen,8,0.98155,0.973346875,0.97229375
qwen,9,0.9810875,0.973346875,0.97229375
qwen,10,0.9811687500000001,0.973346875,0.97229375
qwen,11,0.9795,0.973346875,0.97229375
qwen,12,0.9796812500000001,0.973346875,0.97229375
qwen,13,0.9799437499999999,0.973346875,0.97229375
qwen,14,0.9787750000000002,0.973346875,0.97229375
qwen,15,0.98125625,0.973346875,0.97229375
qwen,16,0.9811125,0.973346875,0.97229375
qwen,17,0.9799375,0.973346875,0.97229375
qwen,18,0.98165,0.973346875,0.97229375
qwen,19,0.981103125,0.973346875,0.97229375
qwen,20,0.985759375,0.973346875,0.97229375
qwen,21,0.9836125,0.973346875,0.97229375
qwen,22,0.9811687499999999,0.973346875,0.97229375
qwen,23,0.98305625,0.973346875,0.97229375
qwen,24,0.983325,0.973346875,0.97229375
qwen,25,0.9844812500000001,0.973346875,0.97229375
qwen,26,0.9851187499999999,0.973346875,0.97229375
qwen,27,0.9823312500000001,0.973346875,0.97229375
qwen,28,0.98203125,0.973346875,0.97229375
qwen,29,0.985275,0.973346875,0.97229375
qwen,30,0.985053125,0.973346875,0.97229375
qwen,31,0.9842250000000001,0.973346875,0.97229375
qwen,32,0.9813312500000001,0.973346875,0.97229375
qwen,33,0.980996875,0.973346875,0.97229375
qwen,34,0.9832875,0.973346875,0.97229375
qwen,35,0.9823375,0.973346875,0.97229375
qwen,36,0.9837625,0.973346875,0.97229375
phi3,0,0.957490625,0.973346875,0.97229375
phi3,1,0.97631875,0.973346875,0.97229375
phi3,2,0.97975,0.973346875,0.97229375
phi3,3,0.979475,0.973346875,0.97229375
phi3,4,0.9784999999999999,0.973346875,0.97229375
phi3,5,0.978975,0.973346875,0.97229375
phi3,6,0.98151875,0.973346875,0.97229375
phi3,7,0.9822812500000001,0.973346875,0.97229375
phi3,8,0.9842625,0.973346875,0.97229375
phi3,9,0.98494375,0.973346875,0.97229375
phi3,10,0.9863562499999999,0.973346875,0.97229375
phi3,11,0.9858625000000001,0.973346875,0.97229375
phi3,12,0.98488125,0.973346875,0.97229375
phi3,13,0.9838625000000001,0.973346875,0.97229375
phi3,14,0.9841,0.973346875,0.97229375
phi3,15,0.985625,0.973346875,0.97229375
phi3,16,0.98411875,0.973346875,0.97229375
phi3,17,0.98391875,0.973346875,0.97229375
phi3,18,0.9851499999999999,0.973346875,0.97229375
phi3,19,0.9864875,0.973346875,0.97229375
phi3,20,0.9872875,0.973346875,0.97229375
phi3,21,0.9868499999999999,0.973346875,0.97229375
phi3,22,0.9870812499999999,0.973346875,0.97229375
phi3,23,0.98669375,0.973346875,0.97229375
phi3,24,0.98656875,0.973346875,0.97229375
phi3,25,0.9859062500000001,0.973346875,0.97229375
phi3,26,0.9868187500000001,0.973346875,0.97229375
phi3,27,0.9863937500000001,0.973346875,0.97229375
phi3,28,0.9847312500000001,0.973346875,0.97229375
phi3,29,0.9856312500000001,0.973346875,0.97229375
phi3,30,0.9846375,0.973346875,0.97229375
phi3,31,0.984975,0.973346875,0.97229375
phi3,32,0.98546875,0.973346875,0.97229375
llama,0,0.9717749999999998,0.973346875,0.97229375
llama,1,0.9795,0.973346875,0.97229375
llama,2,0.9802312500000001,0.973346875,0.97229375
llama,3,0.98224375,0.973346875,0.97229375
llama,4,0.98311875,0.973346875,0.97229375
llama,5,0.9822437500000001,0.973346875,0.97229375
llama,6,0.9811000000000001,0.973346875,0.97229375
llama,7,0.978875,0.973346875,0.97229375
llama,8,0.9811875000000001,0.973346875,0.97229375
llama,9,0.9808437500000001,0.973346875,0.97229375
llama,10,0.98535,0.973346875,0.97229375
llama,11,0.9891937500000001,0.973346875,0.97229375
llama,12,0.9882062500000001,0.973346875,0.97229375
llama,13,0.9870437500000001,0.973346875,0.97229375
llama,14,0.9868125,0.973346875,0.97229375
llama,15,0.98661875,0.973346875,0.97229375
llama,16,0.9856687500000001,0.973346875,0.97229375
llama,17,0.98626875,0.973346875,0.97229375
llama,18,0.9846625000000001,0.973346875,0.97229375
llama,19,0.9847375,0.973346875,0.97229375
llama,20,0.9830875,0.973346875,0.97229375
llama,21,0.9834,0.973346875,0.97229375
llama,22,0.98321875,0.973346875,0.97229375
llama,23,0.9824875,0.973346875,0.97229375
llama,24,0.9803062499999999,0.973346875,0.97229375
llama,25,0.98159375,0.973346875,0.97229375
llama,26,0.9839,0.973346875,0.97229375
llama,27,0.9859250000000002,0.973346875,0.97229375
llama,28,0.9828437500000001,0.973346875,0.97229375
