target_layer,transfer_auroc
0,0.5214909834541737
1,0.4820087376835843
2,0.48383528536902776
3,0.43716304145752
4,0.42285740844023045
5,0.4308421639709983
6,0.44244283324037925
7,0.4626417549730433
8,0.42572039412530216
9,0.4126138687488381
10,0.4124279605874698
11,0.42631530024168063
12,0.42783974716490053
13,0.4059211749395798
14,0.4193065625580963
15,0.42593418851087567
16,0.4111916713143707
17,0.3992191857222532
18,0.3854526863729318
19,0.4114426473322179
20,0.4459286112660346
21,0.45103179029559404
22,0.4476110801264176
23,0.45407138873396546
24,0.46130321621119164
25,0.46307863915225883
26,0.4401654582636178
27,0.4102807213236661
28,0.3865077151886968
